"uid","fare_amount","pickup_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count"
31722,16.5,"2013-03-26 09:16:00 UTC",-74.00927,40.713327,-73.992137,40.75431,1
14674,8,"2013-03-02 01:40:00 UTC",-73.978727,40.740533,-73.982928,40.723313,5
37571,4,"2013-03-28 18:14:00 UTC",-73.955557,40.776927,-73.96031,40.772987,1
47583,26,"2013-03-11 20:04:00 UTC",-74.006162,40.740355,-74.00508,40.741195,1
29473,11.5,"2013-03-24 02:55:00 UTC",-73.98428,40.764292,-73.989152,40.757495,1
60566,38.83,"2013-03-13 17:50:00 UTC",-73.86599,40.770945,-74.00324,40.744072,6
56325,10,"2013-03-05 08:28:00 UTC",-73.986383,40.74618,-73.980295,40.760152,2
33883,7.5,"2013-03-25 15:54:53 UTC",-73.99222,40.743488,-74.00453,40.741985,1
31371,6.5,"2013-03-13 08:04:03 UTC",-74.005584,40.736781,-73.994079,40.728432,1
52333,24.5,"2013-03-07 10:18:11 UTC",-73.974892,40.765051,-74.012388,40.707751,1
45697,8.5,"2013-03-27 23:34:52 UTC",-73.991327,40.727513,-73.968907,40.750932,2
43483,12,"2013-03-14 08:44:36 UTC",-73.96932,40.763683,-73.980695,40.753893,1
12678,15,"2013-03-18 19:13:00 UTC",-73.983618,40.744097,-73.984127,40.780372,1
8077,9,"2013-03-28 15:18:36 UTC",-73.970587,40.759356,-73.98832,40.74569,2
47265,11,"2013-03-11 14:37:25 UTC",-73.974526,40.749986,-73.982633,40.720107,1
19097,11.5,"2013-03-16 10:36:00 UTC",-73.990182,40.766992,-73.982887,40.74176,5
32062,13.5,"2013-03-14 14:58:00 UTC",-74.013887,40.703085,-74.000197,40.721317,3
64498,57.33,"2013-03-29 19:12:00 UTC",-73.790155,40.646677,-73.982452,40.729572,2
38079,8,"2013-03-04 20:59:00 UTC",-73.982167,40.777427,-73.963338,40.801127,1
59732,7,"2013-03-13 20:15:22 UTC",-73.951965,40.790177,-73.945625,40.811165,1
39491,16.5,"2013-03-01 22:20:00 UTC",-74.011015,40.716337,-73.988048,40.724802,1
39866,6,"2013-03-26 13:56:56 UTC",-73.976522,40.733548,-73.989718,40.735581,1
54931,7.5,"2013-03-01 22:51:33 UTC",-73.981866,40.773094,-73.960626,40.776387,2
